No,ID,ACCID,Vet Name,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,Address ID,Zip ,วันที่เปิดทำการ,เวลาเปิดทำการ,เวลาปิดทำการ,ที่อยู่,Stock,Stock
26,6778490026,CN126,โรงพยาบาลน่านรักษ์สัตว์,ในเวียง,อำเภอเมืองน่าน,น่าน,550101,55000,"วันจันทร์, วันอังคาร, วันพุธ, วันพฤหัส, วันศุกร์, วันเสาร์",9:00:00 AM,8:00:00 PM,47/7 ถ.มหายศ,0,0
27,6778490027,CN127,คลินิกโฮ่งเหมียว,บ้านกลาง,อำเภอเมืองลำพูน,ลำพูน,510112,51000,ทุกวัน,9:00:00 AM,8:00:00 PM,122/9 ม.4,0,0
28,6778490028,CN128,คลินิกหมอปัทรักษาสัตว์,สันโป่ง,อำเภอแม่ริม,เชียงใหม่,500703,50180,ทุกวัน หยุดวันพุธ,9:00:00 AM,7:00:00 PM,6/2 ม.1,0,0
29,6778490029,CN129,คลินิกหมอวุดรักษาสัตว์,ในเวียง,อำเภอเมืองน่าน,น่าน,550101,55000,ทุกวัน,8:30:00 AM,8:00:00 PM,106/1 ถ.สุมนเทวราช,0,0
30,6778490030,CN130,คลินิกรักษาสัตว์ แอปเปิ้ลทรี (ตลาดแม่ริมพลาซ่า),ริมใต้,อำเภอแม่ริม,เชียงใหม่,500701,50180,ทุกวัน หยุดวันอังคาร,9:00:00 AM,7:00:00 PM,399/37 ม.1 (ตลาดแม่ริมพลาซ่า),0,0
31,6778490031,CN131,โรงพยาบาลสัตว์เชียงราย,รอบเวียง,อำเภอเมืองเชียงราย,เชียงราย,570102,57000,ทุกวัน,9:00:00 AM,9:00:00 PM,198/9 ม.16,0,0
32,6778490032,CN132,คลินิกรักษาสัตว์แสนดี,ห้วยอ้อ,อำเภอลอง,แพร่,540301,54150,"วันจันทร์, วันอังคาร, วันพุธ, วันพฤหัส, วันศุกร์, วันเสาร์",9:00:00 AM,7:00:00 PM,64 ม.9,0,0
33,6778490033,CN133,คลินิกลำปางรักษ์สัตว์,เวียงเหนือ,อำเภอเมืองลำปาง,ลำปาง,520101,52000,ทุกวัน หยุดวันพุธ,9:00:00 AM,8:00:00 PM,279/9 ถ.จามเทวี,0,0
34,6778490034,CN134,คลินิกปัญญาปาร์ครักษาสัตว์,พระบาท,อำเภอเมืองลำปาง,ลำปาง,520105,52000,ทุกวัน หยุดวันอาทิตย์,9:00:00 AM,7:00:00 PM,152/18 ถ.ลำปาง-แม่ทะ,0,0
35,6778490035,CN135,โรงพยาบาลสัตว์อินทนนท์,ดอยแก้ว,อำเภอจอมทอง,เชียงใหม่,500207,50160,ทุกวัน หยุดวันพุธ,9:00:00 AM,7:00:00 PM,46/5 ม.2 ถ.เชียงใหม่-ฮอด,0,0
36,6778490036,CN136,ช่อผกาสัตวแพทย์,หย่วน,อำเภอเชียงคำ,พะเยา,560301,56110,ทุกวัน,8:00:00 AM,8:00:00 PM,465/3 ม.4,0,0
37,6778490037,CN137,โรงพยาบาลสัตว์เพ็ททูแคร์,หนองจ๊อม,อำเภอสันทราย,เชียงใหม่,501407,50210,ทุกวัน,9:00:00 AM,8:00:00 PM,158 ม.3,0,0
38,6778490038,CN138,คลินิกหมอก้อยรักษาสัตว์,เชิงดอย,อำเภอดอยสะเก็ด,เชียงใหม่,500501,50220,ทุกวัน,9:00:00 AM,6:00:00 PM,99/5 ม.3,0,0
39,6778490039,CN139,แก้มป่องรักษาสัตว์,ในเวียง,อำเภอเมืองน่าน,น่าน,550101,55000,ทุกวัน หยุดวันอาทิตย์,9:00:00 AM,6:00:00 PM,33/81 ถ.เปรมประชาราษฎร์,0,0
40,6778490040,CN140,คลินิกบ้านรักสัตว์เกาะคา,ศาลา,อำเภอเกาะคา,ลำปาง,520305,52130,ทุกวัน,9:00:00 AM,6:30:00 PM,286/1 ม.3,0,0
41,6778490041,CN141,โรงพยาบาลสัตว์เชียงใหม่,สันกลาง,อำเภอสันกำแพง,เชียงใหม่,501313,50130,ทุกวัน,8:00:00 AM,9:00:00 PM,29/5-6 ม.6,0,0
42,6778490042,CN142,โรงพยาบาลสัตว์มหาวิทยาลัยเชียงใหม่,สุเทพ,อำเภอเมืองเชียงใหม่,เชียงใหม่,500108,50200,ทุกวัน,8:00:00 AM,8:00:00 PM,คณะสัตวแพทยศาสตร์,0,0
43,6778490043,CN143,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,แม่เหียะ,อำเภอเมืองเชียงใหม่,เชียงใหม่,500109,50000,ทุกวัน หยุดวัน เสาร์ อาทิตย์,9:00:00 AM,4:00:00 PM,ถ.เลียบคันคลองชลประทาน,0,0
44,6778490044,CN144,โรงพยาบาลสัตว์เชียงใหม่-แม่ริม,ช้างเผือก,อำเภอเมืองเชียงใหม่,เชียงใหม่,500107,50300,ทุกวัน,8:00:00 AM,12:00:00 AM,84/17-18 ถ.โชตนา,0,0
45,6778490045,CN145,คลินิกรักษาสัตว์ โฮ่ง โฮ่ง เหมียว,หนองจ๊อม,อำเภอสันทราย,เชียงใหม่,501407,50210,ทุกวัน หยุดวันอาทิตย์,9:00:00 AM,8:00:00 PM,332/12,0,0
46,6778490046,CN146,คลินิกสัตวแพทย์สายใหม่,หนองจ๊อม,อำเภอสันทราย,เชียงใหม่,501407,50210,ทุกวัน,10:00:00 AM,8:00:00 PM,107/4 ม.7,0,0
47,6778490047,CN147,คลินิกสัตว์ วี เพ็ท,บ่อแฮ้ว,อำเภอเมืองลำปาง,ลำปาง,520116,52100,ทุกวัน,8:00:00 AM,8:00:00 PM,94/1 ม.4 ถ.ลำปาง-ห้างฉัตร,0,0
48,6778490048,CN148,โรงพยาบาลสัตว์ บ้านเท้าปุย,สุเทพ,อำเภอเมืองเชียงใหม่,เชียงใหม่,500108,50300,ทุกวัน,9:00:00 AM,8:00:00 PM,43/6 ถ.คลองชลประทาน,0,0
